"","country","NSFgeneral","NSFspecific","budget"
"1","Argentina",1.20026025004281,3.33229256258248,2.6536422714739
"2","Bahamas",0.748451270324662,1.84341545721612,1.27757752650018
"3","Belize",1.16260801837493,3.36484472232287,2.65962485865956
"4","Bolivia",1.34233730066213,3.13813821310589,2.68327689787311
"5","Brazil",1.30587096036951,3.32041425629516,2.67602929535804
"6","Chile",1.27576656412416,3.35421659792616,2.7011071199052
"7","Colombia",1.37776457118346,3.30661566172984,2.667675991679
"8","Costa.Rica",1.23341658677806,3.13497249589578,2.62595263552296
"9","Cuba",1.24782203964748,2.74937576293288,2.2702662649456
"10","Ecuador",1.40170071390931,3.14824473630983,2.66312434471833
"11","El.Salvador",1.12465865957427,2.62001305916334,2.51428796633143
"12","Guatemala",1.19127402492452,3.20927571298789,2.59774875398984
"13","Honduras",1.36150360462889,2.82924481350674,2.39356218870707
"14","Jamaica",1.12944845347838,2.20416505195741,0.981480621447459
"15","Mexico",1.28131877774979,3.32066251963845,2.69014013490252
"16","Nicaragua",0.917560459668458,2.69015285083192,1.42443992130541
"17","Panama",1.19465303641679,3.09908336749997,2.52962085492603
"18","Paraguay",1.34515295327038,2.90302903636873,2.28283313166114
"19","Peru",1.29429737230078,3.26130851381039,2.61928362689241
"20","Uruguay",1.27480501242888,3.33343593727959,2.64228057945042
"21","Venezuela",1.20602523417155,3.3931883959876,2.66427275534723
